Year,Reported,CO2_LU,CO2,CH4_LU,CH4,N2O_LU,N2O,HFCs,PFCs,SF6,Total_LU,Total
1990,2003,3930878.076,5003685.482,644000.8873,,397584.2804,,36022.5082,20464.60706,37878.17302,5066828.5323,6139635.9379
1991,2003,3905354.157,4966164.619,643974.4699,,403014.08,,31705.5082,18033.8169,38878.36253,5040960.3941,6101770.8560
1992,2003,3995632.955,5062411.35,647186.2841,,412995.3646,,36481.19787,16904.63041,36949.53496,5146149.9666,6212928.3625
1993,2003,4113063.572,5179284.632,638466.9215,,413248.048,,37183.54825,16809.79904,41161.04037,5259932.9293,6326153.9892
1994,2003,4201570.026,5272143.451,645401.7252,,439985.9987,,40105.71156,15407.73767,38368.03331,5380839.2325,6451412.6579
1995,2003,4270272.964,5334445.791,650028.5877,,430943.634,,48911.7033,16671.06889,33897.07849,5450725.0360,6514897.8638
1996,2003,4453794.702,5514810.511,636802.5442,,441728.1382,,61720.0835,16945.41117,34980.46497,5645971.3444,6706987.1527
1997,2003,4754739.434,5595361.057,629506.5189,,440906.0364,,67928.41553,16376.93384,32511.9717,5941969.3107,6782590.9331
1998,2003,4783720.678,5614198.176,622700.028,,436817.542,,84922.76354,15024.52657,27685.75888,5970871.2971,6801348.7954
1999,2003,4839622.786,5680676.548,615533.3144,,432990.3793,,81525.75628,15304.70372,23513.6528,6008490.5923,6849544.3546
2000,2003,5048481.123,5883118.292,613353.2755,,429937.1624,,87316.95504,13993.95643,19645.0831,6212727.5556,7047364.7249
2001,2003,4956666.771,5794803.627,605880.9494,,424564.5883,,83650.15491,8731.926128,18577.36003,6098071.7500,6936208.6056
1990,2004,4044458.202,5002324.371,642673.037,,393178.5931,,35486.79348,20345.88329,35109.27873,5171251.7876,6129117.9568
1991,2004,4078018.87,4961684.128,643084.3154,,398663.7574,,31583.80481,17796.7431,33465.16753,5202612.6580,6086277.9163
1992,2004,4133528.001,5062351.126,646762.4577,,408458.1314,,36976.37661,16584.78528,31106.9783,5273416.7306,6202239.8557
1993,2004,4324725.156,5175351.285,638818.888,,408548.9024,,36593.03785,16492.89071,35660.66735,5460839.5427,6311465.6716
1994,2004,4341373.36,5260865.554,645127.9637,,435204.8434,,41422.80659,15103.38108,32906.30009,5511138.6544,6430630.8484
1995,2004,4364196.311,5312188.572,650158.6073,,427049.2104,,51603.11597,15564.97986,28143.77939,5536716.0037,6484708.2645
1996,2004,4443326.828,5498548.873,637000.0001,,436874.4263,,66442.44216,16637.1256,31781.70711,5632062.5288,6687284.5738
1997,2004,4756680.717,5577635.373,628824.9217,,436311.2169,,76741.09921,15772.75572,29145.87328,5943476.5835,6764431.2393
1998,2004,4896714.218,5602499.738,620123.3442,,432134.0726,,97105.40336,14448.15132,24145.43389,6084670.6235,6790456.1433
1999,2004,5000537.34,5676289.941,613053.7971,,428354.5816,,96660.4931,14425.86764,23721.12459,6176753.2044,6852505.8049
2000,2004,5168831.283,5858981.65,614432.9612,,425829.7505,,105127.5093,13821.45292,20132.70877,6348175.6659,7038326.0323
2001,2004,5042026.045,5731773.165,605117.6855,,417278.5956,,103360.8743,7510.997337,18848.41633,6194142.6140,6883889.7342
2002,2004,5091639.44,5782362.685,598119.6988,,415849.3372,,111666.0307,8718.824913,17845.84169,6243839.1738,6934562.4180
1990,2005,3967502.32,5009552.272,605344.9505,,381989.0434,,35551.505,20560.26307,35111.156,5046059.2382,6088109.1902
1991,2005,3918003.433,4969264.142,607042.6523,,379187.3476,,31693.24489,17734.14426,33466.95577,4987127.7781,6038388.4873
1992,2005,4088448.696,5062007.365,608138.4023,,366578.8547,,37142.95741,16503.13918,31108.58486,5147920.6343,6121479.3030
1993,2005,4141643.195,5177352.35,598682.6128,,385844.1096,,36814.97596,16461.60347,35662.55461,5215109.0519,6250818.2066
1994,2005,4327825.494,5268047.967,604123.1324,,381245.5889,,41621.07519,15111.6451,32908.0125,5402834.9479,6343057.4206
1995,2005,4414352.052,5319375.387,601307.0489,,391181.6976,,51772.30573,15579.78144,28145.15268,5502338.0382,6407361.3730
1996,2005,4587501.505,5500167.929,589826.2343,,416214.3688,,66576.91719,16635.25264,31783.25435,5708537.5323,6621203.9561
1997,2005,4649972.803,5579984.015,579490.0858,,396320.8264,,76799.88972,15781.47107,29147.25946,5747512.3354,6677523.5470
1998,2005,4726164.144,5607159.408,569101.9361,,407752.451,,97129.19811,14458.09985,24146.51891,5838752.3476,6719747.6119
1999,2005,4851864.271,5677970.075,557279.9995,,382146.8422,,96666.33157,14445.52927,23722.14968,5926125.1229,6752230.9271
2000,2005,5035792.035,5858201.042,554172.7366,,401924.8057,,105065.9032,13888.63798,19924.28764,6130768.4061,6953177.4126
2001,2005,4917903.625,5744782.267,546814.3644,,385844.1818,,103243.6295,7536.964065,18722.02402,5980064.7891,6806943.4308
2002,2005,4970274.352,5796757.017,542479.5204,,380533.9589,,111493.8937,8747.245425,18038.5853,6031567.5562,6858050.2209
2003,2005,5013457.321,5841503.791,544954.9895,,376748.9568,,111987.0064,7119.298865,17913.24283,6072180.8159,6900227.2858
1990,2006,4094881.781,5005254.881,618063.6435,,394880.953,,35551.505,20644.69533,34564.95439,5198587.5325,6108960.6319
1991,2006,4053321.555,4961836.996,618175.6018,,409620.2392,,31693.24489,17818.4982,32940.69159,5163569.8307,6072085.2718
1992,2006,4185090.348,5057696.602,618840.8828,,385452.7298,,37110.467,16586.06233,30632.31995,5273712.8099,6146319.0642
1993,2006,4435337.164,5187306.606,606887.1582,,450629.2331,,36712.59637,16534.45287,35096.22344,5581196.8284,6333166.2702
1994,2006,4523813.55,5271653.976,612386.7848,,404136.579,,41404.52555,15171.39169,32404.81206,5629317.6435,6377158.0689
1995,2006,4710402.727,5325289.595,608945.4321,,454233.471,,51441.44668,15635.8192,27749.30329,5868408.1988,6483295.0672
1996,2006,4904878.322,5508728.269,599002.8211,,462888.3763,,66072.83439,16684.4942,31329.08461,6080855.9326,6684705.8800
1997,2006,4939596.131,5580868.38,588825.4091,,420488.3372,,75491.05117,15825.08198,28748.0238,6068974.0341,6710246.2835
1998,2006,4876134.412,5620176.12,579475.1686,,440624.5866,,95056.4385,14493.78001,23840.12401,6029624.5093,6773666.2180
1999,2006,4929347.084,5695039.423,568971.9953,,419369.5718,,93632.22119,14466.26719,23428.35433,6049215.4941,6814907.8328
2000,2006,5104958.226,5864464.876,566940.921,,416207.6698,,101239.0002,13892.62162,19557.4606,6222795.8989,6982302.5494
2001,2006,5027204.785,5795192.225,560258.9442,,412820.3265,,98642.84179,7536.964065,18676.04511,6125139.9072,6893127.3467
2002,2006,5047250.391,5815888.976,559804.4578,,407396.8142,,106169.3324,8774.606687,17762.51706,6147158.1190,6915796.7045
2003,2006,5102829.71,5877677.375,564371.1004,,386076.7822,,105994.7473,7119.138028,17898.53243,6184290.0106,6959137.6752
2004,2006,5207890.245,5987984.411,556737.4905,,386713.9107,,119091.9731,6426.970915,17454.44778,6294315.0381,7074409.2037
1990,2007,4348856.53,5061634.359,609053.9133,601978.5815,482016.288,476113.1982,35486.79348,20759.92998,33067.95997,5529241.4144,6229040.8224
1991,2007,4223222.488,5016185.302,604360.5823,601782.696,483993.3034,478454.8484,31583.80481,17774.73822,31662.60125,5392597.5184,6177443.9909
1992,2007,4316877.237,5111327.437,610978.4033,606829.6908,477338.8884,471561.087,37928.05216,16539.87119,31854.21518,5491516.6677,6276040.3528
1993,2007,4474999.427,5240304.933,597092.6767,593624.3559,519572.7059,513657.5935,39657.88717,16507.73854,31302.03291,5679132.4684,6435054.5407
1994,2007,4499657.905,5333540.984,606551.8069,598581.4188,487172.5895,480560.5471,46952.50756,15167.17439,29777.81495,5685279.7987,6504580.4466
1995,2007,4555816.194,5384614.616,598683.1752,594712.441,484236.0722,478148.4878,59571.54139,15585.61106,28303.48667,5742196.0802,6560936.1839
1996,2007,4733900.493,5566813.008,597326.4271,586183.6651,546835.634,539792.6929,76367.80071,16598.42328,27496.86061,5998525.6388,6813252.4501
1997,2007,4778246.373,5640560.308,580657.5382,575802.8001,506018.9509,499549.5924,87760.53871,15600.27923,25806.63034,5994090.3102,6845080.1491
1998,2007,4869885.742,5678492.45,569587.7197,565649.433,528817.7065,522377.2978,106028.7762,14025.8079,22662.70771,6111008.4596,6909236.4728
1999,2007,4972586.71,5754820.325,561968.7453,552922.1579,472677.4391,465591.9368,103971.4252,13958.40917,23081.10102,6148243.8297,6914345.3549
2000,2007,5183263.683,5939968.483,563683.1469,549681.3568,499778.6052,492441.8578,110976.3779,13506.60208,19305.96686,6390514.3818,7125880.6449
2001,2007,5075553.282,5843025.233,547683.8788,541698.9973,502482.3624,496073.7796,108553.8387,6992.052614,18235.14734,6259500.5615,7014579.0483
2002,2007,5080852.08,5892744.462,549692.8977,539309.4443,479177.8105,472164.1941,116830.124,8747.726832,17381.78586,6252682.4253,7047177.7375
2003,2007,5140592.631,5952537.514,549242.5922,541185.1083,459782.7837,452828.2708,118001.4584,7086.728328,17564.51998,6292270.7134,7089203.5994
2004,2007,5239543.952,6064328.64,540264.2761,533333.5547,445210.465,438200.3914,130308.9072,6403.793614,17139.26199,6378870.6555,7189714.5494
2005,2007,5261037.661,6089490.315,539295.4432,527716.6048,468593.5624,461267.1325,140066.1596,6107.350012,16834.5605,6431934.7370,7241482.1223
1990,2008,4330795.055,5061388.235,606076.5165,601604.4822,383392.9523,381894.9064,36924.09883,20759.92998,32671.02984,5410619.5828,6135242.6825
1991,2008,4255527.162,5015916.574,605696.6896,602254.8399,394451.279,393032.0452,33540.68963,17774.73822,31287.88391,5338278.4419,6093806.7714
1992,2008,4351317.333,5111527.338,608929.583,604293.627,378671.0808,377035.8657,38282.64832,16539.87119,31481.26662,5425221.7829,6179160.6169
1993,2008,4514203.953,5240825.846,595194.3492,592377.6661,414326.4209,412665.729,38755.86392,16507.73854,30936.48166,5609924.8075,6332069.3254
1994,2008,4548862.804,5334510,608616.011,599475.1802,396609.426,394220.3745,44049.90648,15167.42399,29434.16829,5642739.7402,6416857.0537
1995,2008,4618841.924,5387109.033,598877.5896,594180.9107,395598.7745,393757.1196,61803.10595,15595.55847,27990.4514,5718707.4037,6480436.1786
1996,2008,4806835.738,5570098.788,603016.7927,588528.0117,435829.9852,432994.0158,71167.02325,16608.50032,27231.48091,5960689.5202,6706627.8196
1997,2008,4858355.06,5648298.416,582492.0376,579620.7136,400290.6135,398616.2615,81038.82483,15233.07423,25476.16452,5962885.7750,6748283.4545
1998,2008,4925605.059,5682102.053,572488.3572,569080.0347,405131.5501,403583.449,96876.4848,14045.49688,22473.7053,6036620.6533,6788161.2238
1999,2008,5036353.235,5754851.955,571847.9365,558063.5154,373045.5158,370375.7244,94846.25081,13976.21951,22828.96233,6112898.1199,6814942.6274
2000,2008,5266117.475,5932184.392,574267.9206,555284.8112,385889.5136,382420.0382,100087.4651,13494.45693,19148.52554,6359005.3566,7002619.6889
2001,2008,5095959.775,5838326.149,558766.5024,549362.112,392857.404,390132.1853,97885.8834,6989.050598,18670.42155,6171129.0368,6901365.8021
2002,2008,5081810.336,5900019.296,563474.2833,547096.5499,376096.5639,372622.8762,106317.6592,8718.785882,18007.87221,6154425.5007,6952783.0395
2003,2008,5091738.67,5944390.338,559374.498,550636.2729,356569.3934,353824.7504,104441.9038,7088.33303,18106.9241,6137319.7226,6978488.5226
2004,2008,5164551.28,6030655.845,545557.0894,538636.6649,353545.2267,350941.0143,116568.8659,6138.739481,17969.63432,6204330.8355,7060910.7635
2005,2008,5195700.324,6066452.037,539666.1808,527358.8148,370055.4475,366982.034,121422.5419,6209.948997,18212.61157,6251267.0545,7106637.9878
2006,2008,5099443.289,5975096.295,555291.0772,530738.9667,367881.2797,363573.6865,124525.7057,6055.498806,17330.705,6170527.5554,7017320.8574
1990,2009,4235263.436,5068576.188,616556.9339,611971.3321,314985.769,313470.9257,36924.09883,20759.92998,32787.6982,5257277.8654,6084490.1724
1991,2009,4171425.878,5022584.507,617751.1121,613757.8782,322197.589,320717.4102,33540.68963,17774.73822,31399.66236,5194089.6688,6039774.8853
1992,2009,4286391.39,5124242.562,623464.8089,617484.2335,314060.2071,312283.6925,38282.64832,16539.87119,31592.00418,5310330.9294,6140425.0121
1993,2009,4469169.913,5249133.847,610298.5974,606604.3062,334677.3648,332922.9041,38755.86392,16507.73854,31043.80774,5500453.2852,6274968.4670
1994,2009,4436356.709,5341161.685,625637.2834,614593.4897,331790.72,329204.1951,44050.24448,15167.42399,29535.10054,5482537.4809,6373712.1390
1995,2009,4556932.294,5399817.484,615826.2118,609676.4516,334113.0192,332119.1635,61803.33486,15587.02142,28080.97964,5612342.8609,6447084.4346
1996,2009,4813098.476,5574200.87,621700.5439,604210.7435,354518.3773,351373.5473,71168.28318,16600.18511,27314.38505,5904400.2508,6644868.0137
1997,2009,4829490.082,5665536.152,596438.3661,593029.2536,335429.0894,333695.1699,81040.87486,15222.68835,25551.89337,5883172.9944,6714076.0325
1998,2009,4962384.957,5694690.805,589213.011,584640.4729,343099.4381,341428.6233,96880.42219,14029.04299,22535.92983,6028142.8010,6754205.2966
1999,2009,5085458.75,5772309.853,589942.1197,573714.2777,319630.0908,316707.4461,94853.64726,13961.47352,22891.96436,6126738.0454,6794438.6621
2000,2009,5237671.46,5946408.841,591104.1545,570469.465,329168.3744,325524.8055,100098.2219,13479.45489,19199.5448,6290721.2102,6975180.3330
2001,2009,5114079.581,5851055.431,577072.6154,565032.4794,336524.8664,333525.9796,96905.85633,6979.601759,18761.048,6150323.5687,6872260.3961
2002,2009,4879553.548,5898675.789,580893.4682,562770.3942,322013.1799,318357.1957,104307.8081,8711.057711,18122.79163,5913601.8536,6910945.0367
2003,2009,4697880.579,5954006.128,578713.9484,567097.0131,312501.7757,309459.5491,101361.2063,7077.88814,18207.15717,5715742.5550,6957208.9418
2004,2009,4753550.099,6039372.691,562727.7743,556141.748,317835.7414,315259.5177,112376.344,6125.078277,17756.95468,5770371.9918,7047032.3333
2005,2009,4968092.247,6081905.118,561708.9426,547508.4688,315910.2684,312638.8574,116073.3341,6194.626904,17893.05593,5985872.4749,7082213.4616
2006,2009,4964330.626,6006103.657,581975.559,550716.4353,312124.0534,307099.0132,119072.7871,6030.44395,17026.86517,6000560.3346,7006049.2018
2007,2009,5040841.993,6094390.113,585317.0487,556312.796,311857.8425,306988.7368,125531.4165,7479.867034,16458.761,6087486.9283,7107161.6899
1990,2010,4191417.998,5092723.055,613388.0726,610201.8007,322266.1534,318614.7335,36924.09883,20759.92998,32591.15389,5217347.4065,6111814.7718
1991,2010,4176000.492,5051058.548,614539.849,611766.9511,332627.43,329288.124,33540.68963,17774.73822,31211.35579,5205694.5549,6074640.4063
1992,2010,4301927.405,5156977.038,619647.2726,615496.0725,321236.9988,316677.5051,38282.64832,16539.87119,31405.45115,5329039.6470,6175378.5865
